Nome,Região,Descrição
Afluente mais comprido,Cazaquistão e Rússia,"O maior afluente em extensão é o rio Irtysh, que atravessa Cazaquistão e Rússia. Ele possui cerca de 4.248 km."
Maior parque eólico marinho,Mar do Norte,"O maior parque eólico marinho do mundo está no Mar do Norte. O complexo Hornsea ultrapassa 1,3 GW de capacidade instalada."
Djenné,Alta Guiné,"Djenné, na região da Alta Guiné, abriga a maior construção de adobe do mundo. Sua Grande Mesquita foi reconstruída em 1907."
Maior palácio,China,"O maior palácio do mundo é a Cidade Proibida, na China. Ela possui cerca de 720 mil m² e mais de 8.700 cômodos."
Capivara,América do Sul ,A capivara é o maior roedor vivo do planeta. Pode pesar até 65 kg e é nativa da América do Sul.
Segunda maior ilha,Melanésia,"A segunda maior ilha do mundo é a Nova Guiné, na Melanésia. Sua área é de aproximadamente 785 mil km²."
Batata,Império Inca,A batata foi domesticada pelo Império Inca há cerca de 8.000 anos. Existem hoje mais de 4.000 variedades.
Minarete(Torre ao lado de uma Mesquita) mais alto,Marrocos,"O minarete mais alto do mundo é o da Mesquita Hassan II, no Marrocos. Ele mede cerca de 210 metros."
Caaba,Arábia Saudita,"A Caaba, em Meca, é o local mais sagrado do Islã. A estrutura atual mede cerca de 13 metros de altura."
Terremoto de maior intensidade,Chile,"O terremoto de maior intensidade já registrado ocorreu no Chile em 1960. Ele atingiu magnitude 9,5."
Maior densidade de bilionários,Nova York,Nova York possui a maior concentração de bilionários do mundo. São mais de 110 residentes com patrimônio bilionário.
Valáquia,Sul da Europa,A Valáquia é uma região histórica situada no sul da Europa Oriental. Hoje faz parte da Romênia.
Múmia mais antiga encontrada,Itália,A múmia humana mais antiga conhecida foi encontrada nos Alpes italianos. Ötzi tem cerca de 5.300 anos.
País com maior área,Rússia,"A Rússia é o país com maior área territorial do mundo. Ela possui aproximadamente 17,1 milhões de km²."
